service_id,date,exception_type
AFA25GEN-6091-Weekday-00_C1,20251127,2
AFA25GEN-6091-Weekday-00_C1,20251225,2
AFA25GEN-6091-Weekday-00_C1,20260101,2
AFA25GEN-6091-Weekday-00_C1,20260119,2
AFA25GEN-6091-Weekday-00_C1,20260216,2
AFA25GEN-6091-Weekday-00_C1,20260330,2
AFA25GEN-6091-Weekday-00_C1,20260331,2
AFA25GEN-6091-Weekday-00_C1,20260401,2
AFA25GEN-6091-Weekday-00_C1,20260402,2
AFA25GEN-6091-Weekday-00_C1,20260403,2
AFA25GEN-6091-Weekday-00_C1,20260406,2
AFA25GEN-7024-Saturday-00,20260119,1
AFA25GEN-7024-Saturday-00,20260216,1
AFA25GEN-7026-Sunday-00_C14,20251127,1
AFA25GEN-7026-Sunday-00_C14,20251225,1
AFA25GEN-7026-Sunday-00_C14,20260101,1
AFA25GEN-7026-Sunday-00_C14,20260329,2
AFA25GEN-7064-Weekday-00_C31,20251127,2
AFA25GEN-7064-Weekday-00_C31,20251225,2
AFA25GEN-7064-Weekday-00_C31,20260101,2
AFA25GEN-7064-Weekday-00_C31,20260119,2
AFA25GEN-7064-Weekday-00_C31,20260216,2
AFA25GEN-7064-Weekday-00_C31,20260330,2
AFA25GEN-7064-Weekday-00_C31,20260331,2
AFA25GEN-7064-Weekday-00_C31,20260401,2
AFA25GEN-7064-Weekday-00_C31,20260402,2
AFA25GEN-7064-Weekday-00_C31,20260403,2
AFA25GEN-GS013-Saturday-00,20260119,1
AFA25GEN-GS013-Saturday-00,20260216,1
AFA25GEN-GS013-Sunday-00,20251127,1
AFA25GEN-GS013-Sunday-00,20251225,1
AFA25GEN-GS013-Sunday-00,20260101,1
AFA25GEN-GS022-Weekday-00,20251127,2
AFA25GEN-GS022-Weekday-00,20251225,2
AFA25GEN-GS022-Weekday-00,20260101,2
AFA25GEN-GS022-Weekday-00,20260119,2
AFA25GEN-GS022-Weekday-00,20260216,2
BFA25GEN-A047-Saturday-00_C10,20260119,1
BFA25GEN-A047-Saturday-00_C10,20260216,1
BFA25GEN-A047-Saturday-00_C10,20260404,2
BFA25GEN-A055-Sunday-00_C46,20251127,1
BFA25GEN-A055-Sunday-00_C46,20251225,1
BFA25GEN-A055-Sunday-00_C46,20260101,1
BFA25GEN-A055-Sunday-00_C46,20260329,2
BFA25GEN-A055-Sunday-00_C46,20260405,2
BFA25GEN-A087-Weekday-00_C5,20251127,2
BFA25GEN-A087-Weekday-00_C5,20251225,2
BFA25GEN-A087-Weekday-00_C5,20260101,2
BFA25GEN-A087-Weekday-00_C5,20260119,2
BFA25GEN-A087-Weekday-00_C5,20260216,2
BFA25GEN-A087-Weekday-00_C5,20260330,2
BFA25GEN-A087-Weekday-00_C5,20260331,2
BFA25GEN-A087-Weekday-00_C5,20260401,2
BFA25GEN-A087-Weekday-00_C5,20260402,2
BFA25GEN-A087-Weekday-00_C5,20260403,2
BFA25GEN-A087-Weekday-00_C5,20260406,2
BFA25GEN-B087-Weekday-00_C28,20251127,2
BFA25GEN-B087-Weekday-00_C28,20251225,2
BFA25GEN-B087-Weekday-00_C28,20260101,2
BFA25GEN-B087-Weekday-00_C28,20260119,2
BFA25GEN-B087-Weekday-00_C28,20260216,2
BFA25GEN-B087-Weekday-00_C28,20260330,2
BFA25GEN-B087-Weekday-00_C28,20260331,2
BFA25GEN-B087-Weekday-00_C28,20260401,2
BFA25GEN-B087-Weekday-00_C28,20260402,2
BFA25GEN-B087-Weekday-00_C28,20260403,2
BFA25GEN-B087-Weekday-00_C28,20260406,2
BFA25GEN-C026-Saturday-00_C53,20260119,1
BFA25GEN-C026-Saturday-00_C53,20260216,1
BFA25GEN-C026-Saturday-00_C53,20260404,2
BFA25GEN-C028-Sunday-00_C55,20251127,1
BFA25GEN-C028-Sunday-00_C55,20251225,1
BFA25GEN-C028-Sunday-00_C55,20260101,1
BFA25GEN-C028-Sunday-00_C55,20260329,2
BFA25GEN-C059-Weekday-00_C64,20251127,2
BFA25GEN-C059-Weekday-00_C64,20251225,2
BFA25GEN-C059-Weekday-00_C64,20260101,2
BFA25GEN-C059-Weekday-00_C64,20260119,2
BFA25GEN-C059-Weekday-00_C64,20260216,2
BFA25GEN-C059-Weekday-00_C64,20260330,2
BFA25GEN-C059-Weekday-00_C64,20260331,2
BFA25GEN-C059-Weekday-00_C64,20260401,2
BFA25GEN-C059-Weekday-00_C64,20260402,2
BFA25GEN-C059-Weekday-00_C64,20260403,2
BFA25GEN-C059-Weekday-00_C64,20260406,2
BFA25GEN-D041-Saturday-00_C35,20260119,1
BFA25GEN-D041-Saturday-00_C35,20260216,1
BFA25GEN-D041-Saturday-00_C35,20260404,2
BFA25GEN-D043-Sunday-00_C24,20251127,1
BFA25GEN-D043-Sunday-00_C24,20251225,1
BFA25GEN-D043-Sunday-00_C24,20260101,1
BFA25GEN-D043-Sunday-00_C24,20260329,2
BFA25GEN-D043-Sunday-00_C24,20260405,2
BFA25GEN-D084-Weekday-00_C58,20251127,2
BFA25GEN-D084-Weekday-00_C58,20251225,2
BFA25GEN-D084-Weekday-00_C58,20260101,2
BFA25GEN-D084-Weekday-00_C58,20260119,2
BFA25GEN-D084-Weekday-00_C58,20260216,2
BFA25GEN-D084-Weekday-00_C58,20260330,2
BFA25GEN-D084-Weekday-00_C58,20260331,2
BFA25GEN-D084-Weekday-00_C58,20260401,2
BFA25GEN-D084-Weekday-00_C58,20260402,2
BFA25GEN-D084-Weekday-00_C58,20260403,2
BFA25GEN-D084-Weekday-00_C58,20260406,2
BFA25GEN-E043-Saturday-00_C29,20260119,1
BFA25GEN-E043-Saturday-00_C29,20260216,1
BFA25GEN-E043-Saturday-00_C29,20260404,2
BFA25GEN-E049-Sunday-00_C40,20251127,1
BFA25GEN-E049-Sunday-00_C40,20251225,1
BFA25GEN-E049-Sunday-00_C40,20260101,1
BFA25GEN-E049-Sunday-00_C40,20260329,2
BFA25GEN-E049-Sunday-00_C40,20260405,2
BFA25GEN-E077-Weekday-00_C51,20251127,2
BFA25GEN-E077-Weekday-00_C51,20251225,2
BFA25GEN-E077-Weekday-00_C51,20260101,2
BFA25GEN-E077-Weekday-00_C51,20260119,2
BFA25GEN-E077-Weekday-00_C51,20260216,2
BFA25GEN-E077-Weekday-00_C51,20260330,2
BFA25GEN-E077-Weekday-00_C51,20260331,2
BFA25GEN-E077-Weekday-00_C51,20260401,2
BFA25GEN-E077-Weekday-00_C51,20260402,2
BFA25GEN-E077-Weekday-00_C51,20260403,2
BFA25GEN-E077-Weekday-00_C51,20260406,2
BFA25GEN-F045-Saturday-00_C42,20260119,1
BFA25GEN-F045-Saturday-00_C42,20260216,1
BFA25GEN-F045-Saturday-00_C42,20260404,2
BFA25GEN-F049-Sunday-00_C34,20251127,1
BFA25GEN-F049-Sunday-00_C34,20251225,1
BFA25GEN-F049-Sunday-00_C34,20260101,1
BFA25GEN-F049-Sunday-00_C34,20260329,2
BFA25GEN-F049-Sunday-00_C34,20260405,2
BFA25GEN-F080-Weekday-00_C12,20251127,2
BFA25GEN-F080-Weekday-00_C12,20251225,2
BFA25GEN-F080-Weekday-00_C12,20260101,2
BFA25GEN-F080-Weekday-00_C12,20260119,2
BFA25GEN-F080-Weekday-00_C12,20260216,2
BFA25GEN-F080-Weekday-00_C12,20260330,2
BFA25GEN-F080-Weekday-00_C12,20260331,2
BFA25GEN-F080-Weekday-00_C12,20260401,2
BFA25GEN-F080-Weekday-00_C12,20260402,2
BFA25GEN-F080-Weekday-00_C12,20260403,2
BFA25GEN-F080-Weekday-00_C12,20260406,2
BFA25GEN-FS012-Saturday-00,20260119,1
BFA25GEN-FS012-Saturday-00,20260216,1
BFA25GEN-FS012-Weekday-00,20251127,2
BFA25GEN-FS012-Weekday-00,20251225,2
BFA25GEN-FS012-Weekday-00,20260101,2
BFA25GEN-FS012-Weekday-00,20260119,2
BFA25GEN-FS012-Weekday-00,20260216,2
BFA25GEN-FS013-Sunday-00,20251127,1
BFA25GEN-FS013-Sunday-00,20251225,1
BFA25GEN-FS013-Sunday-00,20260101,1
BFA25GEN-G038-Saturday-00_C30,20260119,1
BFA25GEN-G038-Saturday-00_C30,20260216,1
BFA25GEN-G038-Saturday-00_C30,20260404,2
BFA25GEN-G039-Sunday-00_C63,20251127,1
BFA25GEN-G039-Sunday-00_C63,20251225,1
BFA25GEN-G039-Sunday-00_C63,20260101,1
BFA25GEN-G039-Sunday-00_C63,20260329,2
BFA25GEN-G039-Sunday-00_C63,20260405,2
BFA25GEN-G056-Weekday-00_C3,20251127,2
BFA25GEN-G056-Weekday-00_C3,20251225,2
BFA25GEN-G056-Weekday-00_C3,20260101,2
BFA25GEN-G056-Weekday-00_C3,20260119,2
BFA25GEN-G056-Weekday-00_C3,20260216,2
BFA25GEN-G056-Weekday-00_C3,20260330,2
BFA25GEN-G056-Weekday-00_C3,20260331,2
BFA25GEN-G056-Weekday-00_C3,20260401,2
BFA25GEN-G056-Weekday-00_C3,20260402,2
BFA25GEN-G056-Weekday-00_C3,20260403,2
BFA25GEN-G056-Weekday-00_C3,20260406,2
BFA25GEN-H026-Sunday-00_C60,20251127,1
BFA25GEN-H026-Sunday-00_C60,20251225,1
BFA25GEN-H026-Sunday-00_C60,20260101,1
BFA25GEN-H026-Sunday-00_C60,20260329,2
BFA25GEN-H026-Sunday-00_C60,20260405,2
BFA25GEN-H027-Saturday-00_C52,20260119,1
BFA25GEN-H027-Saturday-00_C52,20260216,1
BFA25GEN-H027-Saturday-00_C52,20260404,2
BFA25GEN-H043-Weekday-00_C49,20251127,2
BFA25GEN-H043-Weekday-00_C49,20251225,2
BFA25GEN-H043-Weekday-00_C49,20260101,2
BFA25GEN-H043-Weekday-00_C49,20260119,2
BFA25GEN-H043-Weekday-00_C49,20260216,2
BFA25GEN-H043-Weekday-00_C49,20260330,2
BFA25GEN-H043-Weekday-00_C49,20260331,2
BFA25GEN-H043-Weekday-00_C49,20260401,2
BFA25GEN-H043-Weekday-00_C49,20260402,2
BFA25GEN-H043-Weekday-00_C49,20260403,2
BFA25GEN-H043-Weekday-00_C49,20260406,2
BFA25GEN-J034-Saturday-00,20260119,1
BFA25GEN-J034-Saturday-00,20260216,1
BFA25GEN-J034-Sunday-00_C54,20251127,1
BFA25GEN-J034-Sunday-00_C54,20251225,1
BFA25GEN-J034-Sunday-00_C54,20260101,1
BFA25GEN-J034-Sunday-00_C54,20260329,2
BFA25GEN-J056-Weekday-00_C27,20251127,2
BFA25GEN-J056-Weekday-00_C27,20251225,2
BFA25GEN-J056-Weekday-00_C27,20260101,2
BFA25GEN-J056-Weekday-00_C27,20260119,2
BFA25GEN-J056-Weekday-00_C27,20260216,2
BFA25GEN-J056-Weekday-00_C27,20260330,2
BFA25GEN-J056-Weekday-00_C27,20260331,2
BFA25GEN-J056-Weekday-00_C27,20260401,2
BFA25GEN-J056-Weekday-00_C27,20260402,2
BFA25GEN-J056-Weekday-00_C27,20260403,2
BFA25GEN-L027-Saturday-00_C11,20260119,1
BFA25GEN-L027-Saturday-00_C11,20260216,1
BFA25GEN-L027-Saturday-00_C11,20260404,2
BFA25GEN-L027-Sunday-00_C43,20251127,1
BFA25GEN-L027-Sunday-00_C43,20251225,1
BFA25GEN-L027-Sunday-00_C43,20260101,1
BFA25GEN-L027-Sunday-00_C43,20260329,2
BFA25GEN-L027-Sunday-00_C43,20260405,2
BFA25GEN-L053-Weekday-00_C59,20251127,2
BFA25GEN-L053-Weekday-00_C59,20251225,2
BFA25GEN-L053-Weekday-00_C59,20260101,2
BFA25GEN-L053-Weekday-00_C59,20260119,2
BFA25GEN-L053-Weekday-00_C59,20260216,2
BFA25GEN-L053-Weekday-00_C59,20260330,2
BFA25GEN-L053-Weekday-00_C59,20260331,2
BFA25GEN-L053-Weekday-00_C59,20260401,2
BFA25GEN-L053-Weekday-00_C59,20260402,2
BFA25GEN-L053-Weekday-00_C59,20260403,2
BFA25GEN-M027-Sunday-00_C44,20251127,1
BFA25GEN-M027-Sunday-00_C44,20251225,1
BFA25GEN-M027-Sunday-00_C44,20260101,1
BFA25GEN-M027-Sunday-00_C44,20260329,2
BFA25GEN-M027-Sunday-00_C44,20260405,2
BFA25GEN-M028-Saturday-00_C47,20260119,1
BFA25GEN-M028-Saturday-00_C47,20260216,1
BFA25GEN-M028-Saturday-00_C47,20260404,2
BFA25GEN-M093-Weekday-00_C9,20251127,2
BFA25GEN-M093-Weekday-00_C9,20251225,2
BFA25GEN-M093-Weekday-00_C9,20260101,2
BFA25GEN-M093-Weekday-00_C9,20260119,2
BFA25GEN-M093-Weekday-00_C9,20260216,2
BFA25GEN-M093-Weekday-00_C9,20260330,2
BFA25GEN-M093-Weekday-00_C9,20260331,2
BFA25GEN-M093-Weekday-00_C9,20260401,2
BFA25GEN-M093-Weekday-00_C9,20260402,2
BFA25GEN-M093-Weekday-00_C9,20260403,2
BFA25GEN-M093-Weekday-00_C9,20260406,2
BFA25GEN-N057-Saturday-00_C36,20260119,1
BFA25GEN-N057-Saturday-00_C36,20260216,1
BFA25GEN-N057-Saturday-00_C36,20260404,2
BFA25GEN-N060-Sunday-00_C2,20251127,1
BFA25GEN-N060-Sunday-00_C2,20251225,1
BFA25GEN-N060-Sunday-00_C2,20260101,1
BFA25GEN-N060-Sunday-00_C2,20260329,2
BFA25GEN-N060-Sunday-00_C2,20260405,2
BFA25GEN-N101-Weekday-00_C26,20251127,2
BFA25GEN-N101-Weekday-00_C26,20251225,2
BFA25GEN-N101-Weekday-00_C26,20260101,2
BFA25GEN-N101-Weekday-00_C26,20260119,2
BFA25GEN-N101-Weekday-00_C26,20260216,2
BFA25GEN-N101-Weekday-00_C26,20260330,2
BFA25GEN-N101-Weekday-00_C26,20260331,2
BFA25GEN-N101-Weekday-00_C26,20260401,2
BFA25GEN-N101-Weekday-00_C26,20260402,2
BFA25GEN-N101-Weekday-00_C26,20260403,2
BFA25GEN-N101-Weekday-00_C26,20260406,2
BFA25GEN-Q022-Saturday-00_C25,20260119,1
BFA25GEN-Q022-Saturday-00_C25,20260216,1
BFA25GEN-Q022-Saturday-00_C25,20260404,2
BFA25GEN-Q024-Sunday-00_C32,20251127,1
BFA25GEN-Q024-Sunday-00_C32,20251225,1
BFA25GEN-Q024-Sunday-00_C32,20260101,1
BFA25GEN-Q024-Sunday-00_C32,20260329,2
BFA25GEN-Q024-Sunday-00_C32,20260405,2
BFA25GEN-Q071-Weekday-00_C45,20251127,2
BFA25GEN-Q071-Weekday-00_C45,20251225,2
BFA25GEN-Q071-Weekday-00_C45,20260101,2
BFA25GEN-Q071-Weekday-00_C45,20260119,2
BFA25GEN-Q071-Weekday-00_C45,20260216,2
BFA25GEN-Q071-Weekday-00_C45,20260330,2
BFA25GEN-Q071-Weekday-00_C45,20260331,2
BFA25GEN-Q071-Weekday-00_C45,20260401,2
BFA25GEN-Q071-Weekday-00_C45,20260402,2
BFA25GEN-Q071-Weekday-00_C45,20260403,2
BFA25GEN-Q071-Weekday-00_C45,20260406,2
BFA25GEN-R052-Sunday-00_C41,20251127,1
BFA25GEN-R052-Sunday-00_C41,20251225,1
BFA25GEN-R052-Sunday-00_C41,20260101,1
BFA25GEN-R052-Sunday-00_C41,20260329,2
BFA25GEN-R053-Saturday-00,20260119,1
