service_id,date,exception_type
AFA25GEN-6091-Weekday-00_C3,20260218,2
AFA25GEN-6091-Weekday-00_C3,20260219,2
AFA25GEN-6091-Weekday-00_C3,20260220,2
AFA25GEN-6091-Weekday-00_C3,20260223,2
AFA25GEN-6091-Weekday-00_C3,20260224,2
AFA25GEN-7024-Saturday-00_C57,20260119,1
AFA25GEN-7024-Saturday-00_C57,20260216,2
AFA25GEN-7024-Saturday-00_C57,20260221,2
AFA25GEN-7026-Sunday-00_C16,20251127,1
AFA25GEN-7026-Sunday-00_C16,20251225,1
AFA25GEN-7026-Sunday-00_C16,20260101,1
AFA25GEN-7026-Sunday-00_C16,20260222,2
AFA25GEN-7064-Weekday-00_C33,20251127,2
AFA25GEN-7064-Weekday-00_C33,20251225,2
AFA25GEN-7064-Weekday-00_C33,20260101,2
AFA25GEN-7064-Weekday-00_C33,20260119,2
AFA25GEN-7064-Weekday-00_C33,20260216,2
AFA25GEN-7064-Weekday-00_C33,20260217,2
AFA25GEN-7064-Weekday-00_C33,20260218,2
AFA25GEN-7064-Weekday-00_C33,20260219,2
AFA25GEN-7064-Weekday-00_C33,20260220,2
AFA25GEN-7064-Weekday-00_C33,20260223,2
AFA25GEN-7064-Weekday-00_C33,20260224,2
AFA25GEN-GS013-Saturday-00,20260119,1
AFA25GEN-GS013-Saturday-00,20260216,1
AFA25GEN-GS013-Sunday-00,20251127,1
AFA25GEN-GS013-Sunday-00,20251225,1
AFA25GEN-GS013-Sunday-00,20260101,1
AFA25GEN-GS022-Weekday-00,20251127,2
AFA25GEN-GS022-Weekday-00,20251225,2
AFA25GEN-GS022-Weekday-00,20260101,2
AFA25GEN-GS022-Weekday-00,20260119,2
AFA25GEN-GS022-Weekday-00,20260216,2
BFA25GEN-A047-Saturday-00_C11,20260119,1
BFA25GEN-A047-Saturday-00_C11,20260216,2
BFA25GEN-A055-Sunday-00,20251127,1
BFA25GEN-A055-Sunday-00,20251225,1
BFA25GEN-A055-Sunday-00,20260101,1
BFA25GEN-A087-Weekday-00_C7,20251127,2
BFA25GEN-A087-Weekday-00_C7,20251225,2
BFA25GEN-A087-Weekday-00_C7,20260101,2
BFA25GEN-A087-Weekday-00_C7,20260119,2
BFA25GEN-A087-Weekday-00_C7,20260216,2
BFA25GEN-A087-Weekday-00_C7,20260217,2
BFA25GEN-A087-Weekday-00_C7,20260218,2
BFA25GEN-A087-Weekday-00_C7,20260219,2
BFA25GEN-A087-Weekday-00_C7,20260220,2
BFA25GEN-A087-Weekday-00_C7,20260223,2
BFA25GEN-A087-Weekday-00_C7,20260224,2
BFA25GEN-B087-Weekday-00_C30,20251127,2
BFA25GEN-B087-Weekday-00_C30,20251225,2
BFA25GEN-B087-Weekday-00_C30,20260101,2
BFA25GEN-B087-Weekday-00_C30,20260119,2
BFA25GEN-B087-Weekday-00_C30,20260216,2
BFA25GEN-B087-Weekday-00_C30,20260217,2
BFA25GEN-B087-Weekday-00_C30,20260218,2
BFA25GEN-B087-Weekday-00_C30,20260219,2
BFA25GEN-B087-Weekday-00_C30,20260220,2
BFA25GEN-B087-Weekday-00_C30,20260223,2
BFA25GEN-B087-Weekday-00_C30,20260224,2
BFA25GEN-C026-Saturday-00_C54,20260119,1
BFA25GEN-C026-Saturday-00_C54,20260216,2
BFA25GEN-C028-Sunday-00,20251127,1
BFA25GEN-C028-Sunday-00,20251225,1
BFA25GEN-C028-Sunday-00,20260101,1
BFA25GEN-C059-Weekday-00_C64,20251127,2
BFA25GEN-C059-Weekday-00_C64,20251225,2
BFA25GEN-C059-Weekday-00_C64,20260101,2
BFA25GEN-C059-Weekday-00_C64,20260119,2
BFA25GEN-C059-Weekday-00_C64,20260216,2
BFA25GEN-C059-Weekday-00_C64,20260217,2
BFA25GEN-C059-Weekday-00_C64,20260218,2
BFA25GEN-C059-Weekday-00_C64,20260219,2
BFA25GEN-C059-Weekday-00_C64,20260220,2
BFA25GEN-C059-Weekday-00_C64,20260223,2
BFA25GEN-C059-Weekday-00_C64,20260224,2
BFA25GEN-D041-Saturday-00_C37,20260119,1
BFA25GEN-D041-Saturday-00_C37,20260216,2
BFA25GEN-D041-Saturday-00_C37,20260221,2
BFA25GEN-D043-Sunday-00_C27,20251127,1
BFA25GEN-D043-Sunday-00_C27,20251225,1
