batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6e	backend/app/services/agent/presented_entity_registry.py	_admitted_aliases	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_registry_identity_fields	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_admit_registry_entry	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_rewrite_canonical_place	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_reused_aliases	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_upsert_registry_item	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_place_in_source	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_scoped_entries	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_latest_by_sequence	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_latest_ordinal_entry	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_name_alias_matches	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_unique_description_entry	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_price_description_match	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_borough_description_match	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/presented_entity_registry.py	_text_description_match	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/profile.py	_matching_saved_places	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/profile.py	_unique_place	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/profile.py	_admitted_coordinates	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	_assert_public_tool_budget	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	offered_custom_tools	2	1	0	5	public
batch6e	backend/app/services/agent/public_surface.py	_live_what_if_selection	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	_presentable_what_if	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	active_temporary_route_preview	3	1	0	7	public
batch6e	backend/app/services/agent/public_surface.py	_ready_presenter_name	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	_pending_place_presenter	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	_pending_route_presenter	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/public_surface.py	_pending_tool_names	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/session.py	_trimmed_session_blob	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/session.py	_route_endpoint_slots	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/session.py	_route_constraint_slots	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_stripped	1	0	0	9	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_tool_satisfies_declared_goal	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_presenter_reuse_allowed	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_has_destination_ids	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_current_turn_destination_error	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	missing_verified_destination	2	0	0	3	public
batch6e	backend/app/services/agent/tool_input_policy.py	_constrained_route_modes	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/tool_input_policy.py	_constrained_route_ids	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_record_route_card	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_record_arrival_card	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_record_sources	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_accepted_trip_identity	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_owned_route_card	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_card_matches_itinerary	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	active_accepted_route_card	3	1	0	5	public
