name	added_in	hits_all	hits_non_test
appendUniqueRouteCard	frontend/lib/agent-chat-state.ts	2	2
applyCardAction	frontend/lib/agent-chat-state.ts	2	2
applyProgressUpdate	frontend/lib/agent-chat-state.ts	2	2
applySessionAndTurn	frontend/lib/agent-chat-state.ts	2	2
applyStreamedContent	frontend/lib/agent-chat-state.ts	2	2
applyTerminal	frontend/lib/agent-chat-state.ts	2	2
applyToolEnd	frontend/lib/agent-chat-state.ts	2	2
applyToolLifecycle	frontend/lib/agent-chat-state.ts	2	2
arrivalCardIsHidden	frontend/lib/agent-chat-state.ts	2	2
arrivalFromLive	frontend/components/smart-route/left-rail/live-data/nearby-arrivals.ts	2	2
arrivalsEmptyCopy	frontend/components/smart-route/chat/chat-arrivals-card.tsx	2	2
bindAbortSignals	frontend/lib/backend-stream-proxy.ts	2	2
boardHeadsign	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
boardingBadgeStyle	frontend/components/smart-route/map/smart-route-map.tsx	2	2
buildProxyHeaders	frontend/lib/backend-proxy.ts	2	2
bundleLaneFeature	frontend/components/map/subway-network.ts	2	2
bundleLaneIdentity	frontend/components/map/subway-network.ts	2	2
busComparisonInsight	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
candidateArrivalClock	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
candidateArriveLabel	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	2	2
candidateDelta	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	8	2
cardPlaceNames	frontend/components/smart-route/chat/itinerary-view-model.ts	2	2
cardRationale	frontend/components/smart-route/chat/itinerary-view-model.ts	2	2
closestAccessGroup	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
collectHomeArrivals	frontend/components/smart-route/chat/near-you.ts	2	2
colorGroupLaneFeatures	frontend/components/map/subway-network.ts	2	2
colorLaneFeature	frontend/components/map/subway-network.ts	2	2
coordinatesFromUnknown	frontend/lib/mapbox-search.ts	2	2
countedStopFeatures	frontend/components/map/route-stops-features.ts	2	2
darkThemeActions	frontend/components/smart-route/map/smart-route-map-helpers.ts	2	2
decodeSsePayload	frontend/lib/agent-chat-stream.ts	2	2
decodedPolyline	frontend/components/map/route-stops-features.ts	2	2
destinationActionState	frontend/components/smart-route/left-rail/route-view-actions.tsx	2	2
destinationComboboxCommand	frontend/components/smart-route/left-rail/route-view-actions.tsx	16	2
destinationFieldModel	frontend/components/smart-route/left-rail/route-view-actions.tsx	2	2
destinationPresentation	frontend/components/smart-route/left-rail/route-view-actions.tsx	2	2
destinationSubmitColors	frontend/components/smart-route/left-rail/route-view-actions.tsx	2	2
dismissTurnError	frontend/lib/agent-chat-state.ts	2	2
dispatchDroppedStream	frontend/lib/agent-chat-controller.ts	2	2
dispatchTransportFailure	frontend/lib/agent-chat-controller.ts	2	2
distinctAlternate	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	2	2
emptyPlanFacts	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
expandableStatus	frontend/components/smart-route/left-rail/alert-detail.tsx	2	2
failedUpstreamResponse	frontend/lib/backend-proxy.ts	2	2
feedCurrentStatus	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
feedEventToAlertItem	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
feedItemTitle	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
feedServiceName	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
feedSourceContext	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
feedThread	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
